LOCUS_NAME	PHENOTYPE	Term	Label
AT3G46550	"In the presence and absence of 100 mM NaCl, root morphology in double mutants is  comparable to wild type."	NA	NA
AT5G62990	embryo defective; transition	TO:0000620	plant embryo development trait
AT5G60920	Callus-induced roots from the mutant displayed the mutant phenotype when they grew under restrictive conditions. All the mutants responded to a gravitropic stimulus in a manner similar to wild type although the change of the direction of growth was slower than wild type.	TO:0000043	root morphology trait
AT3G57670	"In the mutant, pollen tubes have considerable difficulty growing within the transmitting tract, causing them to terminate travel prematurely and frequently to leave the transmitting tract."	TO:0000437	male sterility
AT4G31530	low fluorescence phenotype (severely decreased Fo and Fm)	TO:0012006	fluorescence related trait
AT4G31530	low fluorescence phenotype (severely decreased Fo and Fm)	TO:0012009	continuous fluorescence yield
AT5G39110	"Seedlings screened in bulk via high throughput methods for responses to various stressors. Results  are in comparison to Col-0. heat:ND,cold:ND,oxidative stress:ND,osmotic stress:ND,salt stress:ND,ABA:ND,hypoxia:decreased."	TO:0000015	oxygen sensitivity
AT3G01470	"Under a short-day regime, athb1-1 mutants developed shorter hypocotyls than WT seedlings. Under long-day conditions, no significant differences were detected between the genotypes."	TO:0006065	seedling hypocotyl length
AT3G01470	"Under a short-day regime, athb1-1 mutants developed shorter hypocotyls than WT seedlings. Under long-day conditions, no significant differences were detected between the genotypes."	TO:0000229	photoperiod sensitivity trait
AT1G02910	"Wild-type chloroplasts are larger than those of the mutant and have a larger number of discs per grana stack on average. In addition, the wild-type chloroplasts display well-developed membrane systems composed of grana connected by the stroma lamellae, but the thylakoid membrane systems in mutant chloroplasts are disturbed, and the membrane spacing is not as clear."	TO:0002715	chloroplast development trait
AT1G06520	Reduced fertility due to male sterility. Pollen collapsed and outcompeted by wild type pollen. Phenotype apparent at microspore release stage II. Tapetum differentitation is abnormal which causes a sporophytic defect on microgametogenesis.	TO:0000437	male sterility
AT1G06520	Reduced fertility due to male sterility. Pollen collapsed and outcompeted by wild type pollen. Phenotype apparent at microspore release stage II. Tapetum differentitation is abnormal which causes a sporophytic defect on microgametogenesis.	TO:1000022	anther morphology trait
AT1G06520	Reduced fertility due to male sterility. Pollen collapsed and outcompeted by wild type pollen. Phenotype apparent at microspore release stage II. Tapetum differentitation is abnormal which causes a sporophytic defect on microgametogenesis.	TO:0000053	pollen sterility
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0000296	vegetative vigor
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0006021	vegetative to reproductive phase transition trait
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:1000012	whole plant size
AT1G69640	"Dwarf plants with reduced vigor, dies before expansion of the true leaves, necrotic lesions on cotyledons. When grew on agar plates, the double mutants displayed extended viability and developed into compact and epinastic rosette with small curled leaves and short petioles, however no bolting. Short roots on agar plate."	TO:0000766	petiole length
