ID,Class ID,Preferred Label,Synonyms,Definitions
TO:0000010,http://purl.obolibrary.org/obo/TO_0000010,magnesium sensitivity,MGSN (related)|magnesium deficiency (related),Sensitivity to the magnesium content in the growth medium. It is important for chlorophyll biosynthesis and metal ion homeostasis.
TO:0000017,http://purl.obolibrary.org/obo/TO_0000017,plant morphology trait,plant structure trait (related)|plant architecture trait (related),"A plant trait  which is a morphological quality of a plant anatomical entity  or a constituent cellular component  contained therein.|Includes traits of plant structures  such as plant cell , plant organ , portion of plant tissue , vascular system , whole plant  and seed , as well as those of plant anatomical spaces  and portions of plant substance ."
TO:0000012,http://purl.obolibrary.org/obo/TO_0000012,hydrogen sensitivity,hydrogen ion sensitivity (related)|molecular hydrogen sensitivity (related),"Sensitivity to the molecular hydrogen or hydrogen ion content in the growth medium. It plays an important role in the synthesis of various inorganic and organic metabolites such as carbohydrates, lipids, amino acids and peptides and plays a role in the energy metabolism, osmolarity,  etc."
TO:0000018,http://purl.obolibrary.org/obo/TO_0000018,boron sensitivity,BOSN (related)|boron deficiency (related),Sensitivity to the boron content in the growth medium. It plays an important role in cell division.
TO:0000019,http://purl.obolibrary.org/obo/TO_0000019,seedling height,SH (related),"Average height measurements of 10 seedlings, in centimeters from the base of the shoot to the tip of the tallest leaf blade."
TO:0000015,http://purl.obolibrary.org/obo/TO_0000015,oxygen sensitivity,oxygen deficiency (related),"Sensitivity to the molecular oxygen or reactive oxygen ion content in the growth medium. It plays an important role in the synthesis of various inorganic and organic metabolites such as carbohydrates, lipids, aminoacids and peptides and plays a role in the energy metabolism."
TO:0000011,http://purl.obolibrary.org/obo/TO_0000011,nitrogen sensitivity,NISN (related)|nitrogen deficiency (related),"Sensitivity to the nitrogen content in the growth medium. It is important for protein synthesis, chlorophyll etc."
TO:0000016,http://purl.obolibrary.org/obo/TO_0000016,cobalt sensitivity,COSN (related),Sensitivity to the cobalt content in the growth medium.
TO:0000014,http://purl.obolibrary.org/obo/TO_0000014,panicle weight,PNWT (related),Average weight of the panicle from the plants or tillers in a given study.
TO:0000013,http://purl.obolibrary.org/obo/TO_0000013,mycoplasma disease response,MLO (related)|MLORS (related),"A microbial disease response  trait which is the response to damage to a plant structure  caused by an infection by a mycoplasma (NCBITaxon:2093).|Plant structure  includes the whole plant , as well as parts of a plant. Plants can exhibit varying degrees of resistance or susceptibility to mycoplasma infections. Mycoplasma infections are often associated with an insect vector."
TO:0000599,http://purl.obolibrary.org/obo/TO_0000599,enzyme activity trait,enzyme catalytic activity (related)|enzymatic activity (related),"A biochemical trait which is a quality of an enzymatic reaction.|Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
TO:0000598,http://purl.obolibrary.org/obo/TO_0000598,protein content,total protein content (narrow)|PROTCN (related),A metabolite content trait  which is the amount of protein  in a plant structure .
TO:0000594,http://purl.obolibrary.org/obo/TO_0000594,100-polished grain weight,HPLSGRWT (exact)|hundred polished grain weight (exact),A polished grain weight  which is the weight of a sample of 100 polished grains.
TO:0000595,http://purl.obolibrary.org/obo/TO_0000595,1000-polished grain weight,TPLSGRWT (exact)|thousand polished grain weight (exact),A polished grain weight  which is the weight of a sample of 1000 polished grains.
TO:0000591,http://purl.obolibrary.org/obo/TO_0000591,100-dehulled grain weight,HDGRWT (broad)|hundred grain weight (broad)|HDHULGRWT (exact)|hundred dehulled grain weight (exact),A dehulled grain weight  which is the weight of a sample of 100 dehulled grains (caryopsis fruit; .
